Country;Continent;Adolescent fertility rate (births per 1000 women ages 15-19);Agricultural land (sq. km);Aid per capita (current US$);Air transport passengers carried;Arable land (hectares);Birth rate crude (per 1000 people);Death rate crude (per 1000 people);Fertility rate total (births per woman);Forest area (sq. km);GDP (constant 2000 US$);Health expenditure per capita (current US$);Immunization DPT (% of children ages 12-23 months);Inflation consumer prices (annual %);Internet users (per 100 people);Land area (sq. km);Life expectancy at birth female (years);Life expectancy at birth male (years);Life expectancy at birth total (years);Military expenditure (% of GDP);Mortality rate adult female (per 1000 female adults);Mortality rate adult male (per 1000 male adults);Mortality rate infant (per 1000 live births);Personal computers (per 100 people);Population growth (annual %);Population total;Population female (% of total);Prevalence of HIV total (% of population ages 15-49);Ratio of female to male primary enrollment;Ratio of female to male secondary enrollment;Surface area (sq. km)
Turkmenistan;Asia;16;330650;6;1653638;2300000;22;8;3;41270;.;156;99;.;1;469930;67;59;63;.;146;302;47;7;1;4833266;51;0;.;.;488100
Uganda;Sub-Saharan Africa;160;127120;41;49368;5400000;47;14;7;36270;7794889216;22;84;8;2;197100;51;49;50;2;450;462;79;1;3;28947181;50;6;100;81;241040
Ukraine;Europe;29;413040;8;2512910;32452000;9;17;1;95750;4.53E+10;128;96;14;10;579380;74;62;68;2;131;375;20;4;-1;47105150;54;1;100;.;603550
UnitedArabEmirates;Middle East & North Africa;20;5600;.;.;64000;16;1;2;3120;1.04E+11;833;94;.;32;83600;82;77;79;2;51;77;8;26;4;4104291;32;0;99;101;83600
UnitedKingdom;Europe;25;169560;.;93602879;5729000;12;10;2;28450;1.63E+12;3064;91;3;53;241930;81;77;79;3;57;91;5;76;1;60226500;50;0;100;103;243610
UnitedStates;North America;43;4147780;.;720547738;174448000;14;8;2;3030890;1.10E+13;6657;96;3;67;9161920;81;75;78;4;.;.;7;.;1;296507000;50;1;99;102;9632030
Uruguay;Latin America & Caribbean;62;149550;4;586458;1370000;15;9;2;15060;2.16E+10;404;96;5;20;175020;79;72;76;1;70;148;12;14;0;3305723;51;0;.;.;176220
Uzbekistan;Asia;35;278900;6;1639276;4700000;20;6;2;32950;1.79E+10;26;99;.;3;425400;71;64;67;.;139;244;40;3;1;26167369;50;0;.;.;447400
Vanuatu;Pacific;47;1470;183;112254;20000;30;5;4;4400;255499728;67;66;1;3;12190;71;68;69;.;132;180;31;1;3;215366;49;.;98;.;12190
Venezuela;Latin America & Caribbean;91;216900;2;5043028;2650000;22;5;3;477130;1.33E+11;247;87;16;13;882050;77;71;74;1;98;183;18;9;2;26577000;50;1;98;113;912050
Vietnam;Asia;19;95920;23;5453683;6600000;18;5;2;129310;4.48E+10;37;95;8;13;310070;73;68;71;.;95;142;16;1;1;83104900;50;0;94;98;329310
VirginIslands(U.S.);Latin America & Caribbean;34;60;.;.;2000;14;6;2;100;.;.;.;.;28;350;80;77;79;.;47;104;.;3;0;108708;52;.;.;.;350
WestBankandGaza;Middle East & North Africa;85;3720;308;.;107000;33;4;5;90;3775940864;.;.;3;7;6020;76;71;73;.;97;134;21;5;3;3626000;49;.;99;105;6020
Yemen;Middle East & North Africa;74;177150;16;1083404;1515000;39;8;6;5490;1.15E+10;39;86;12;1;527970;63;60;62;6;215;264;76;2;3;21095679;49;0;74;49;527970
Zambia;Sub-Saharan Africa;134;257390;81;53880;5260000;40;20;5;424520;4088727552;36;80;18;3;743390;41;41;41;.;645;651;102;1;2;11478317;50;17;95;82;752610
Zimbabwe;Sub-Saharan Africa;64;156100;29;243022;3220000;28;19;4;175400;5618106880;21;90;302;8;386850;41;43;42;0;739;724;68;6;1;13119679;50;20;.;.;390760
World;;10319;47819465;13017;1969403659;1417563100;4307;1753;551;39399500;3.59E+13;138743;16268;1260;3651;129612327;13101;12168;12517;291;31547;43699;7219;2785;286;6385866776;9380;345;15475;14419;133909771
